"trialNo	userAnswer	actualAnswer",,
1,4,3
,,
2,5,4
,,
3,10,10
,,
4,14,14
,,
5,10,10
,,
6,16,16
,,
7,7,7
,,
8,9,9
,,
9,9,9
,,
10,5,5
